#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Double Hawk (Europe);Double Hawk (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Dr. Robotnik's Mean Bean Machine (Europe);Dr. Robotnik's Mean Bean Machine (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Dragon - The Bruce Lee Story (Europe);Dragon - The Bruce Lee Story (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Dragon Crystal (Europe);Dragon Crystal (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Dynamite Duke (Europe);Dynamite Duke (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Dynamite Dux (Europe);Dynamite Dux (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Dynamite Headdy (Brazil);Dynamite Headdy (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
E-SWAT (USA, Europe) (Easy Version);E-SWAT (USA, Europe) (Easy Version);SEGA Master System;;;;;;;;;;;;;;;;;;
Earthworm Jim (Brazil);Earthworm Jim (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Ecco - The Tides of Time (Brazil);Ecco - The Tides of Time (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Ecco the Dolphin (Europe);Ecco the Dolphin (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Enduro Racer (USA, Europe);Enduro Racer (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
F-16 Fighting Falcon (USA);F-16 Fighting Falcon (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
F1 (Europe);F1 (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
FIFA International Soccer (Brazil) (En,Es,Pt);FIFA International Soccer (Brazil) (En,Es,Pt);SEGA Master System;;;;;;;;;;;;;;;;;;
Fantastic Dizzy (Europe) (En,Fr,De,Es,It);Fantastic Dizzy (Europe) (En,Fr,De,Es,It);SEGA Master System;;;;;;;;;;;;;;;;;;
Fantasy Zone (World) (Rev 2);Fantasy Zone (World) (Rev 2);SEGA Master System;;;;;;;;;;;;;;;;;;
Fantasy Zone - The Maze (USA, Europe);Fantasy Zone - The Maze (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Fantasy Zone II - The Tears of Opa-Opa (USA, Europe);Fantasy Zone II - The Tears of Opa-Opa (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Ferias Frustradas do Pica Pau (Brazil);Ferias Frustradas do Pica Pau (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Fire & Forget II (Europe);Fire & Forget II (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Fire & Ice (Brazil);Fire & Ice (Brazil);SEGA Master System;;;;;;;;;;;;;;;;;;
Flash, The (Europe);Flash, The (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Flintstones, The (Europe);Flintstones, The (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Forgotten Worlds (Europe);Forgotten Worlds (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Fushigi no Oshiro Pit Pot (Japan);Fushigi no Oshiro Pit Pot (Japan);SEGA Master System;;;;;;;;;;;;;;;;;;
G-LOC Air Battle (Europe);G-LOC Air Battle (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
GP Rider (Europe);GP Rider (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Gain Ground (Europe);Gain Ground (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Galactic Protector (Japan);Galactic Protector (Japan);SEGA Master System;;;;;;;;;;;;;;;;;;
Galaxy Force (USA);Galaxy Force (USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Gangcheol RoboCop (Korea) (Unl);Gangcheol RoboCop (Korea) (Unl);SEGA Master System;;;;;;;;;;;;;;;;;;
Gangster Town (USA, Europe);Gangster Town (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Gauntlet (Europe);Gauntlet (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Ghost House (USA, Europe);Ghost House (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Ghostbusters (USA, Europe);Ghostbusters (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Ghouls'n Ghosts (USA, Europe);Ghouls'n Ghosts (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Global Defense (USA, Europe);Global Defense (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Golden Axe (USA, Europe);Golden Axe (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Golden Axe Warrior (USA, Europe);Golden Axe Warrior (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Golfamania (Europe);Golfamania (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Golvellius (USA, Europe);Golvellius (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Great Baseball (USA, Europe);Great Baseball (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Great Basketball (World);Great Basketball (World);SEGA Master System;;;;;;;;;;;;;;;;;;
Great Football (World);Great Football (World);SEGA Master System;;;;;;;;;;;;;;;;;;
Great Golf (World);Great Golf (World);SEGA Master System;;;;;;;;;;;;;;;;;;
Great Ice Hockey (Japan, USA);Great Ice Hockey (Japan, USA);SEGA Master System;;;;;;;;;;;;;;;;;;
Great Soccer (Europe);Great Soccer (Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
Great Volleyball (USA, Europe);Great Volleyball (USA, Europe);SEGA Master System;;;;;;;;;;;;;;;;;;
