#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Bill Walsh College Football (USA, Europe);Bill Walsh College Football (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bill Walsh College Football 95 (USA);Bill Walsh College Football 95 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bimini Run (USA);Bimini Run (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bio Hazard Battle;Bio Hazard Battle;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bio Hazard Battle (USA, Europe);Bio Hazard Battle (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Blades of Vengeance (USA, Europe);Blades of Vengeance (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Blaster Master 2 (USA);Blaster Master 2 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Blockbuster World Video Game Championship II (USA);Blockbuster World Video Game Championship II (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Blockout (World);Blockout (World);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bloodshot (Europe);Bloodshot (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Body Count (Europe);Body Count (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bonanza Brothers (USA, Korea);Bonanza Brothers (USA, Korea);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bonkers;Bonkers;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bonkers (USA, Europe);Bonkers (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Boogerman;Boogerman;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Boogerman - A Pick and Flick Adventure (USA);Boogerman - A Pick and Flick Adventure (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Boxing Legends of the Ring (USA);Boxing Legends of the Ring (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bram Stoker's Dracula (USA);Bram Stoker's Dracula (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Brett Hull Hockey '95 (USA);Brett Hull Hockey '95 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Brian Lara Cricket (Europe);Brian Lara Cricket (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Brian Lara Cricket 96 (Europe);Brian Lara Cricket 96 (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Brutal - Paws of Fury (USA);Brutal - Paws of Fury (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bubba'n'Stix - A Strategy Adventure (USA);Bubba'n'Stix - A Strategy Adventure (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bubble and Squeak (USA);Bubble and Squeak (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bubsy II (USA, Europe);Bubsy II (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bubsy in Claws Encounters of the Furred Kind (USA, Europe);Bubsy in Claws Encounters of the Furred Kind (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Buck Rogers - Countdown to Doomsday (USA, Europe);Buck Rogers - Countdown to Doomsday (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Budokan - The Martial Spirit (USA);Budokan - The Martial Spirit (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bugs Bunny in Double Trouble (USA);Bugs Bunny in Double Trouble (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bulls Vs Lakers and the NBA Playoffs (USA, Europe);Bulls Vs Lakers and the NBA Playoffs (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Bulls versus Blazers and the NBA Playoffs (USA, Europe);Bulls versus Blazers and the NBA Playoffs (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Burning Force (USA);Burning Force (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Cadash (USA, Asia);Cadash (USA, Asia);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Caesars Palace (USA);Caesars Palace (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Cal Ripken Jr. Baseball (USA);Cal Ripken Jr. Baseball (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Caliber.50 (USA);Caliber.50 (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
California Games (USA, Europe);California Games (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Cannon Fodder;Cannon Fodder;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Cannon Fodder (Europe);Cannon Fodder (Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Captain America and the Avengers (USA);Captain America and the Avengers (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Captain Planet and the Planeteers (USA);Captain Planet and the Planeteers (USA);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Castle of Illusion;Castle of Illusion;SEGA Mega Drive;;;;;;;;;;;;;;;;;;
Castle of Illusion Starring Mickey Mouse (USA, Europe);Castle of Illusion Starring Mickey Mouse (USA, Europe);SEGA Mega Drive;;;;;;;;;;;;;;;;;;
